"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"LOGO";1;"LOGO";;;
2;"R2";"0207_10";1;"1K";;;
3;"H1,H8,H7,H4,H9,H10,H2,H6,H5,H3";"MountingHole_3.2mm_M3";10;"MountingHole_Pad";;;
4;"J1";"PinHeader_2x15_P2.54mm_Vertical_SMD";1;"M5 2x15 pin";;;
5;"J10";"PinHeader_1x02_P2.54mm_Vertical";1;"QI GND";;;
6;"J3";"PinSocket_1x06_P2.54mm_Vertical";1;"GPS";;;
7;"SW1";"EG1206";1;"SW_SPDT";;;
8;"C2";"C025-024X044";1;"47uF";;;
9;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"QI Plus";;;
10;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Extra support header";;;
11;"R1";"0207_10";1;"9k";;;
12;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Geiger 2";;;
13;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Geiger";;;
14;"Q2";"TO-251-3_Vertical";1;"IRFR9024";;;
15;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"QI charger GND";;;
16;"J11";"PinHeader_1x02_P2.54mm_Vertical";1;"QI charger Plus";;;
17;"BT1";"BATTERY_18650-HOLDER";1;" 3.7 V Lipo";;;
18;"18650 picture";"18650 map";1;"LOGO";;;
