Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BATTERY_18650-HOLDER,1,3.7 V Lipo,
"H4, H6",MountingHole_3.2mm_M3,2,MountingHole_Pad,
J1,PinHeader_2x15_P2.54mm_Vertical,1,M5 2x15 pin,
J10,PinHeader_1x02_P2.54mm_Vertical,1,QI GND,
J11,PinHeader_1x02_P2.54mm_Vertical_4056,1,QI charger Plus,
J3,PinSocket_1x06_P2.54mm_Vertical,1,GPS,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Geiger Safepulse,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Extra support header,
J6,PinSocket_1x04_P2.00mm_Horizontal,1,Grove,
J8,PinHeader_1x02_P2.54mm_Vertical,1,QI charger ground,
J9,PinHeader_1x02_P2.54mm_Vertical,1,QI Plus,
SW1,EG1206,1,SW_SPDT,
