Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1, 3.7 V Lipo,BATTERY_18650-HOLDER,86.8638,-45.2295,0.0,bottom
J1,M5 2x15 pin,PinHeader_2x15_P2.54mm_Vertical,33.2438,-45.8665,-90.0,top
J2,Geiger IRover,PinHeader_1x03_P2.54mm_Vertical,116.6742,-26.0395,0.0,top
J3,GPS,PinSocket_1x06_P2.54mm_Vertical,62.5758,-20.3595,180.0,top
J4,Geiger Safepulse,PinHeader_1x03_P2.54mm_Vertical,103.1588,-18.6545,90.0,top
J5,Extra support header,PinHeader_1x02_P2.54mm_Vertical,70.6878,-33.8345,180.0,top
J6,Grove,PinSocket_1x04_P2.00mm_Horizontal,71.3388,-45.3535,180.0,top
J8,QI charger ground,PinHeader_1x02_P2.54mm_Vertical,92.6494,-19.8823,0.0,top
J9,QI Plus,PinHeader_1x02_P2.54mm_Vertical,118.3288,-33.1615,-90.0,top
J10,QI GND,PinHeader_1x02_P2.54mm_Vertical,118.3242,-18.6835,-90.0,top
J11,QI charger Plus,PinHeader_1x02_P2.54mm_Vertical_4056,92.707179,-31.5765,180.0,top
SW1,SW_SPDT,EG1206,94.0718,-2.0225,180.0,top
